	en	fr	es	el
title	Advanced tools			
text_general	Please login in order to access this service.	Veuillez vous identifier pour accéder au service.	Por favor identifíquese para acceder a este servicio.	Παρακαλώ συνδεθείτε για να αποκτήσετε πρόσβαση σε αυτή την υπηρεσία.
text_account	Do you already have an account?			
button_code	GET CODE			
text_notaccount	You don't have an account?			
button_register	REGISTER			
title_email	Check your email			
text_code_email	Your access code request has been sent successfully. If your account is valid, you should receive your access code by email in a few minutes.	Nous avons bien reçu votre demande de code d'accès. Si votre compte est actif, vous recevrez votre code par email dans quelques minutes.	Su petición de código de acceso ha sido enviada con éxito. Si su cuenta es válida, debe recibir el código de acceso por correo electrónico en unos pocos minutos.	Το αίτημα σας για κωδικό πρόσβασης έχει σταλεί με επιτυχία. Εάν ο λογαριασμός σας είναι έγκυρος, θα πρέπει να λάβετε τον κωδικό πρόσβασης σας μέσω e-mail μέσα σε λίγα λεπτά.
text_problem	If you have not recieved the code check the spam folder or go back and review that you introduced the email correctly.			
button_unlock	UNLOCK TOOLS			
title_tools_unlocked	Tools unlocked			
text_success	You have unlocked the advanced tools susccesfully, now you can close this window and start using them.			
button_close	CLOSE			
title_registration	Registration			
text_description_resgitration	Provide the requiered information to ask for the registration.			
title_approval	Wait for the approval.			
text_review	We will review your information and we will approve your registration if you fulfill the requirements. You will recive an email when the registration is approved.			
text_unlocked	The advanced tools are unlocked			
text_locked	The advanced tools are locked			
button_unlock2	Login	S'identifier	Iniciar sesión	Σύνδεση
button_exit	Logout	Deconnexion	Cerrar sesión	Αποσύνδεση			
alert_text	This tool is restricted, you need to unlock the advanced tools to use it			
placeholder_email	Enter your email address	Saisissez votre adresse mail	Introduzca su dirección de correo electrónico	Πληκτρολογήστε τη διευθύνση του ηλεκτρονικού ταχυδρομείου σας
placeholder_code	Enter your access code	Saisissez votre code d'accès	Introduzca su código de acceso	Πληκτρολογήστε τον κωδικό πρόσβασης σας		
